subject,slice,filter,psnr,ssim
T2_to_SRI_defaced,85,mean,32.573,0.9612
T2_to_SRI_defaced,85,median,34.7845,0.9746
T2_to_SRI_defaced,86,gaussian,32.4278,0.9587
T2_to_SRI_defaced,86,mean,32.9457,0.9629
T2_to_SRI_defaced,86,median,35.1858,0.9761
T1CE_to_SRI_defaced,67,gaussian,29.6691,0.9507
T1CE_to_SRI_defaced,67,mean,29.8532,0.954
T1CE_to_SRI_defaced,67,median,31.9232,0.9691
T1CE_to_SRI_defaced,68,gaussian,29.5993,0.9501
T1CE_to_SRI_defaced,68,mean,29.7626,0.9534
T1CE_to_SRI_defaced,68,median,31.6443,0.9681
T1CE_to_SRI_defaced,69,gaussian,29.7622,0.9506
T1CE_to_SRI_defaced,69,mean,29.9389,0.9539
T1CE_to_SRI_defaced,69,median,31.7569,0.9682
T1CE_to_SRI_defaced,70,gaussian,29.9121,0.9505
T1CE_to_SRI_defaced,70,mean,30.0873,0.9538
T1CE_to_SRI_defaced,70,median,31.9231,0.9683
T1CE_to_SRI_defaced,71,gaussian,29.8244,0.95
T1CE_to_SRI_defaced,71,mean,30.0352,0.9536
T1CE_to_SRI_defaced,71,median,32.0173,0.9693
T1CE_to_SRI_defaced,72,gaussian,29.7968,0.9491
T1CE_to_SRI_defaced,72,mean,29.9773,0.9525
T1CE_to_SRI_defaced,72,median,31.7761,0.9677
T1CE_to_SRI_defaced,73,gaussian,29.884,0.9489
T1CE_to_SRI_defaced,73,mean,30.0583,0.9522
T1CE_to_SRI_defaced,73,median,31.7351,0.9675
T1CE_to_SRI_defaced,74,gaussian,30.046,0.9494
T1CE_to_SRI_defaced,74,mean,30.2381,0.9527
T1CE_to_SRI_defaced,74,median,32.011,0.9685
T1CE_to_SRI_defaced,75,gaussian,30.3878,0.9508
T1CE_to_SRI_defaced,75,mean,30.6033,0.9542
T1CE_to_SRI_defaced,75,median,32.3802,0.9694
T1CE_to_SRI_defaced,76,gaussian,30.6591,0.9521
T1CE_to_SRI_defaced,76,mean,30.8881,0.9556
T1CE_to_SRI_defaced,76,median,32.7021,0.9704
T1CE_to_SRI_defaced,77,gaussian,30.3257,0.9518
T1CE_to_SRI_defaced,77,mean,30.5691,0.9554
T1CE_to_SRI_defaced,77,median,32.3552,0.9698
T1CE_to_SRI_defaced,78,gaussian,30.2466,0.9529
T1CE_to_SRI_defaced,78,mean,30.5193,0.9565
T1CE_to_SRI_defaced,78,median,32.3712,0.9705
T1CE_to_SRI_defaced,79,gaussian,30.4849,0.9551
T1CE_to_SRI_defaced,79,mean,30.7977,0.9588
T1CE_to_SRI_defaced,79,median,32.8094,0.9726
T1CE_to_SRI_defaced,80,gaussian,30.2297,0.9554
T1CE_to_SRI_defaced,80,mean,30.5627,0.9591
T1CE_to_SRI_defaced,80,median,32.6132,0.973
T1CE_to_SRI_defaced,81,gaussian,30.3088,0.9559
T1CE_to_SRI_defaced,81,mean,30.6624,0.9595
T1CE_to_SRI_defaced,81,median,32.8571,0.9735
T1CE_to_SRI_defaced,82,gaussian,30.3785,0.9562
T1CE_to_SRI_defaced,82,mean,30.7371,0.9596
T1CE_to_SRI_defaced,82,median,33.0507,0.9737
T1CE_to_SRI_defaced,83,gaussian,31.0991,0.9587
T1CE_to_SRI_defaced,83,mean,31.4729,0.962
T1CE_to_SRI_defaced,83,median,33.8274,0.9753
T1CE_to_SRI_defaced,84,gaussian,29.899,0.9556
T1CE_to_SRI_defaced,84,mean,30.2832,0.9589
T1CE_to_SRI_defaced,84,median,32.5608,0.9727
T1CE_to_SRI_defaced,85,gaussian,30.0949,0.9558
T1CE_to_SRI_defaced,85,mean,30.4934,0.9592
T1CE_to_SRI_defaced,85,median,32.6781,0.9724
T1CE_to_SRI_defaced,86,gaussian,30.1399,0.9558
T1CE_to_SRI_defaced,86,mean,30.5696,0.9594
T1CE_to_SRI_defaced,86,median,32.6764,0.9722
T1_to_SRI_defaced,67,gaussian,30.5206,0.9568
T1_to_SRI_defaced,67,mean,30.7588,0.9602
T1_to_SRI_defaced,67,median,32.9953,0.9742
T1_to_SRI_defaced,68,gaussian,30.4541,0.9565
T1_to_SRI_defaced,68,mean,30.6657,0.96
T1_to_SRI_defaced,68,median,32.5869,0.9739
T1_to_SRI_defaced,69,gaussian,30.5775,0.9572
T1_to_SRI_defaced,69,mean,30.7833,0.9608
T1_to_SRI_defaced,69,median,32.5956,0.9746
T1_to_SRI_defaced,70,gaussian,30.636,0.958
T1_to_SRI_defaced,70,mean,30.8577,0.9615
T1_to_SRI_defaced,70,median,32.774,0.9759
T1_to_SRI_defaced,71,gaussian,30.568,0.9574
T1_to_SRI_defaced,71,mean,30.7755,0.9609
T1_to_SRI_defaced,71,median,32.6208,0.9755
T1_to_SRI_defaced,72,gaussian,30.5124,0.9569
T1_to_SRI_defaced,72,mean,30.7398,0.9604
T1_to_SRI_defaced,72,median,32.716,0.9754
T1_to_SRI_defaced,73,gaussian,30.7091,0.9568
T1_to_SRI_defaced,73,mean,30.9321,0.9603
T1_to_SRI_defaced,73,median,32.7751,0.9751
T1_to_SRI_defaced,74,gaussian,30.5819,0.9562
T1_to_SRI_defaced,74,mean,30.7886,0.9595
T1_to_SRI_defaced,74,median,32.6119,0.9746
T1_to_SRI_defaced,75,gaussian,31.0225,0.9576
T1_to_SRI_defaced,75,mean,31.2572,0.9609
T1_to_SRI_defaced,75,median,33.1892,0.9758
T1_to_SRI_defaced,76,gaussian,30.3994,0.9564
T1_to_SRI_defaced,76,mean,30.6512,0.9599
T1_to_SRI_defaced,76,median,32.5999,0.9752
T1_to_SRI_defaced,77,gaussian,30.6366,0.9575
T1_to_SRI_defaced,77,mean,30.892,0.961
T1_to_SRI_defaced,77,median,32.8242,0.9759
T1_to_SRI_defaced,78,gaussian,30.588,0.9582
T1_to_SRI_defaced,78,mean,30.8632,0.9617
T1_to_SRI_defaced,78,median,32.8448,0.9761
T1_to_SRI_defaced,79,gaussian,30.5832,0.9594
T1_to_SRI_defaced,79,mean,30.8832,0.9628
T1_to_SRI_defaced,79,median,32.8994,0.9766
T1_to_SRI_defaced,80,gaussian,30.6738,0.9606
T1_to_SRI_defaced,80,mean,31.0087,0.964
T1_to_SRI_defaced,80,median,33.1264,0.9777
T1_to_SRI_defaced,81,gaussian,30.7972,0.9613
T1_to_SRI_defaced,81,mean,31.1579,0.9647
T1_to_SRI_defaced,81,median,33.4048,0.9784
T1_to_SRI_defaced,82,gaussian,30.8373,0.9615
T1_to_SRI_defaced,82,mean,31.1879,0.9647
T1_to_SRI_defaced,82,median,33.7044,0.9788
T1_to_SRI_defaced,83,gaussian,30.6531,0.9616
T1_to_SRI_defaced,83,mean,31.0156,0.9649
T1_to_SRI_defaced,83,median,33.4674,0.9785
T1_to_SRI_defaced,84,gaussian,30.5598,0.9617
T1_to_SRI_defaced,84,mean,30.9283,0.965
T1_to_SRI_defaced,84,median,33.2887,0.9783
T1_to_SRI_defaced,85,gaussian,30.8588,0.9621
T1_to_SRI_defaced,85,mean,31.2562,0.9656
T1_to_SRI_defaced,85,median,33.5762,0.9784
T1_to_SRI_defaced,86,gaussian,30.853,0.9616
T1_to_SRI_defaced,86,mean,31.2709,0.9651
T1_to_SRI_defaced,86,median,33.6279,0.9779
FL_to_SRI_defaced,67,gaussian,29.2185,0.9261
FL_to_SRI_defaced,67,mean,29.4437,0.9268
FL_to_SRI_defaced,67,median,31.0819,0.9417
FL_to_SRI_defaced,68,gaussian,29.2553,0.9267
FL_to_SRI_defaced,68,mean,29.48,0.9276
FL_to_SRI_defaced,68,median,31.0765,0.9425
FL_to_SRI_defaced,69,gaussian,29.1543,0.9268
FL_to_SRI_defaced,69,mean,29.3473,0.9278
FL_to_SRI_defaced,69,median,30.7947,0.9424
